Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TM,Detailed trade matrix,100,India,235,Uzbekistan,5910,Export Quantity,15,Wheat,2018,2018,tonnes,1,,Official data
TM,Detailed trade matrix,100,India,237,Viet Nam,5910,Export Quantity,15,Wheat,2018,2018,tonnes,61,,Official data
TM,Detailed trade matrix,100,India,237,Viet Nam,5910,Export Quantity,15,Wheat,2019,2019,tonnes,85,,Official data
TM,Detailed trade matrix,100,India,251,Zambia,5910,Export Quantity,15,Wheat,2019,2019,tonnes,0,,Official data
TM,Detailed trade matrix,101,Indonesia,9,Argentina,5610,Import Quantity,15,Wheat,2016,2016,tonnes,1289198,,Official data
TM,Detailed trade matrix,101,Indonesia,9,Argentina,5610,Import Quantity,15,Wheat,2017,2017,tonnes,152312,,Official data
TM,Detailed trade matrix,101,Indonesia,9,Argentina,5610,Import Quantity,15,Wheat,2018,2018,tonnes,677953,,Official data
TM,Detailed trade matrix,101,Indonesia,9,Argentina,5610,Import Quantity,15,Wheat,2019,2019,tonnes,1951642,Im,FAO data based on imputation methodology
TM,Detailed trade matrix,101,Indonesia,9,Argentina,5610,Import Quantity,15,Wheat,2020,2020,tonnes,2635500,,Official data
TM,Detailed trade matrix,101,Indonesia,10,Australia,5610,Import Quantity,15,Wheat,2016,2016,tonnes,3499715,,Official data
TM,Detailed trade matrix,101,Indonesia,10,Australia,5610,Import Quantity,15,Wheat,2017,2017,tonnes,4936673,,Official data
TM,Detailed trade matrix,101,Indonesia,10,Australia,5610,Import Quantity,15,Wheat,2018,2018,tonnes,2419709,,Official data
TM,Detailed trade matrix,101,Indonesia,10,Australia,5610,Import Quantity,15,Wheat,2019,2019,tonnes,994636,,Official data
TM,Detailed trade matrix,101,Indonesia,10,Australia,5610,Import Quantity,15,Wheat,2020,2020,tonnes,830837,,Official data
TM,Detailed trade matrix,101,Indonesia,21,Brazil,5610,Import Quantity,15,Wheat,2016,2016,tonnes,53823,,Official data
TM,Detailed trade matrix,101,Indonesia,21,Brazil,5610,Import Quantity,15,Wheat,2017,2017,tonnes,64431,,Official data
TM,Detailed trade matrix,101,Indonesia,21,Brazil,5610,Import Quantity,15,Wheat,2019,2019,tonnes,262946,,Official data
TM,Detailed trade matrix,101,Indonesia,27,Bulgaria,5610,Import Quantity,15,Wheat,2016,2016,tonnes,117470,,Official data
